,book,rating,title
91,/book/show/10357575-1q84,3.91,1Q84
92,/book/show/10360973-the-chronicles-of-amber,4.4,The Chronicles Of Amber
93,/book/show/10361330-html-and-css,4.34,Html And Css
94,/book/show/10363370-anda-s-game,3.7,Anda S Game
95,/book/show/10364010-the-nameless-one,3.93,The Nameless One
96,/book/show/10364814-edda,3.93,Edda
97,/book/show/10365343-zone-one,3.26,Zone One
98,/book/show/10367131-logolicious,3.64,Logolicious
99,/book/show/10373853-tunnel-in-the-sky,3.93,Tunnel In The Sky
100,/book/show/10374279-the-hairdresser-of-harare,3.6,The Hairdresser Of Harare
101,/book/show/10375781-sometimes-your-greatest-misery-can-be-your-greatest-happiness,4.77,Sometimes Your Greatest Misery Can Be Your Greatest Happiness
102,/book/show/10378591-mastering-the-rockefeller-habits,4.04,Mastering The Rockefeller Habits
103,/book/show/10378606-the-color-of-heaven,4.03,The Color Of Heaven
104,/book/show/10382150-one-perfect-night,3.81,One Perfect Night
105,/book/show/10383936-batavia,4.17,Batavia
106,/book/show/10395287-howlov-putuju-i-dvorac,4.3,Howlov Putuju I Dvorac
107,/book/show/10396063-castle-cay,3.53,Castle Cay
108,/book/show/10397655-between,3.95,Between
109,/book/show/10397753-stone-of-tears,4.11,Stone Of Tears
110,/book/show/10407279-deadlocked,3.67,Deadlocked
111,/book/show/10409571-summer-knight,4.3,Summer Knight
112,/book/show/10409597-death-masks,4.32,Death Masks
113,/book/show/10414930-wonders-of-the-universe,4.32,Wonders Of The Universe
114,/book/show/10414941-catherine-the-great,3.91,Catherine The Great
115,/book/show/10415714-the-sisterhood,3.78,The Sisterhood
116,/book/show/10416235-until-thy-wrath-be-past,3.89,Until Thy Wrath Be Past
117,/book/show/10423494-gray-matter,4.09,Gray Matter
118,/book/show/10428708-the-affair,4.13,The Affair
119,/book/show/10428902-miss-peregrine-s-home-for-peculiar-children,3.91,Miss Peregrine S Home For Peculiar Children
120,/book/show/10429037-ruthless,3.92,Ruthless
121,/book/show/10429045-shatter-me,3.99,Shatter Me
122,/book/show/10429092-the-girl-of-fire-and-thorns,3.8,The Girl Of Fire And Thorns
123,/book/show/10433900-variant,3.93,Variant
124,/book/show/10436970-the-accidental-farmers,3.63,The Accidental Farmers
125,/book/show/10439056-curtain,4.07,Curtain
126,/book/show/10439434-hannibal,4.09,Hannibal
127,/book/show/10440840-beyond-and-before,3.71,Beyond And Before
128,/book/show/10440952-ambition-cliff,5.0,Ambition Cliff
